 25.03.2025.21:45 = 0 3 . (-..- (null) ...-) [(null) (null) (null)]
 PU1KOY = K O Y (Kilo Oscar Yankee) [-.- --- -.--]
 PU1KPA = K P A (Kilo Papa Alfa) [-.- .--. .-]
 PU1KPB = K P B (Kilo Papa Bravo) [-.- .--. -...]
 PU1KPE = K P E (Kilo Papa Echo) [-.- .--. .]
 PU1KPJ = K P J (Kilo Papa Juliett) [-.- .--. .---]
 PU1KPL = K P L (Kilo Papa Lima) [-.- .--. .-..]
 PU1KPM = K P M (Kilo Papa Mike) [-.- .--. --]
 PU1KPN = K P N (Kilo Papa November) [-.- .--. -.]
 PU1KPO = K P O (Kilo Papa Oscar) [-.- .--. ---]
 PU1KPU = K P U (Kilo Papa Uniform) [-.- .--. ..-]
 PU1KPV = K P V (Kilo Papa Victor) [-.- .--. ...-]
 PU1KPZ = K P Z (Kilo Papa Zulu) [-.- .--. --..]
 PU1KQA = K Q A (Kilo Quebec Alfa) [-.- --.- .-]
 PU1KQB = K Q B (Kilo Quebec Bravo) [-.- --.- -...]
 PU1KQC = K Q C (Kilo Quebec Charlie) [-.- --.- -.-.]
 PU1KQD = K Q D (Kilo Quebec Delta) [-.- --.- -..]
 PU1KQE = K Q E (Kilo Quebec Echo) [-.- --.- .]
 PU1KQF = K Q F (Kilo Quebec Foxtrot) [-.- --.- ..-.]
 PU1KQH = K Q H (Kilo Quebec Hotel) [-.- --.- ....]
 PU1KQI = K Q I (Kilo Quebec India) [-.- --.- ..]
 PU1KQJ = K Q J (Kilo Quebec Juliett) [-.- --.- .---]
 PU1KQL = K Q L (Kilo Quebec Lima) [-.- --.- .-..]
 PU1KQM = K Q M (Kilo Quebec Mike) [-.- --.- --]
 PU1KQN = K Q N (Kilo Quebec November) [-.- --.- -.]
 PU1KQO = K Q O (Kilo Quebec Oscar) [-.- --.- ---]
 PU1KQP = K Q P (Kilo Quebec Papa) [-.- --.- .--.]
 PU1KQR = K Q R (Kilo Quebec Romeo) [-.- --.- .-.]
 PU1KQS = K Q S (Kilo Quebec Sierra) [-.- --.- ...]
 PU1KQT = K Q T (Kilo Quebec Tango) [-.- --.- -]
 PU1KQU = K Q U (Kilo Quebec Uniform) [-.- --.- ..-]
 PU1KQV = K Q V (Kilo Quebec Victor) [-.- --.- ...-]
 PU1KQY = K Q Y (Kilo Quebec Yankee) [-.- --.- -.--]
 PU1KQZ = K Q Z (Kilo Quebec Zulu) [-.- --.- --..]
 PU1KRB = K R B (Kilo Romeo Bravo) [-.- .-. -...]
 PU1KRD = K R D (Kilo Romeo Delta) [-.- .-. -..]
 PU1KRE = K R E (Kilo Romeo Echo) [-.- .-. .]
 PU1KRG = K R G (Kilo Romeo Golf) [-.- .-. --.]
 PU1KRH = K R H (Kilo Romeo Hotel) [-.- .-. ....]
 PU1KRL = K R L (Kilo Romeo Lima) [-.- .-. .-..]
 PU1KRN = K R N (Kilo Romeo November) [-.- .-. -.]
 PU1KRO = K R O (Kilo Romeo Oscar) [-.- .-. ---]
 PU1KRP = K R P (Kilo Romeo Papa) [-.- .-. .--.]
 PU1KRQ = K R Q (Kilo Romeo Quebec) [-.- .-. --.-]
 PU1KRV = K R V (Kilo Romeo Victor) [-.- .-. ...-]
 PU1KRW = K R W (Kilo Romeo Whiskey) [-.- .-. .--]
 PU1KRZ = K R Z (Kilo Romeo Zulu) [-.- .-. --..]
 PU1KSB = K S B (Kilo Sierra Bravo) [-.- ... -...]
 PU1KSC = K S C (Kilo Sierra Charlie) [-.- ... -.-.]
 PU1KSE = K S E (Kilo Sierra Echo) [-.- ... .]
 PU1KSG = K S G (Kilo Sierra Golf) [-.- ... --.]
 PU1KSI = K S I (Kilo Sierra India) [-.- ... ..]
 PU1KSJ = K S J (Kilo Sierra Juliett) [-.- ... .---]
 PU1KSL = K S L (Kilo Sierra Lima) [-.- ... .-..]
 PU1KSM = K S M (Kilo Sierra Mike) [-.- ... --]
 PU1KSN = K S N (Kilo Sierra November) [-.- ... -.]
 PU1KSO = K S O (Kilo Sierra Oscar) [-.- ... ---]
 PU1KSP = K S P (Kilo Sierra Papa) [-.- ... .--.]
 PU1KSQ = K S Q (Kilo Sierra Quebec) [-.- ... --.-]
 PU1KSR = K S R (Kilo Sierra Romeo) [-.- ... .-.]
 PU1KST = K S T (Kilo Sierra Tango) [-.- ... -]
 PU1KSV = K S V (Kilo Sierra Victor) [-.- ... ...-]
 PU1KSW = K S W (Kilo Sierra Whiskey) [-.- ... .--]
 PU1KSY = K S Y (Kilo Sierra Yankee) [-.- ... -.--]
 PU1KTA = K T A (Kilo Tango Alfa) [-.- - .-]
 PU1KTB = K T B (Kilo Tango Bravo) [-.- - -...]
 PU1KTE = K T E (Kilo Tango Echo) [-.- - .]
 PU1KTF = K T F (Kilo Tango Foxtrot) [-.- - ..-.]
 PU1KTG = K T G (Kilo Tango Golf) [-.- - --.]
