 25.03.2025.21:45 = 0 3 . (-..- (null) ...-) [(null) (null) (null)]
 PU1KHC = K H C (Kilo Hotel Charlie) [-.- .... -.-.]
 PU1KHD = K H D (Kilo Hotel Delta) [-.- .... -..]
 PU1KHG = K H G (Kilo Hotel Golf) [-.- .... --.]
 PU1KHH = K H H (Kilo Hotel Hotel) [-.- .... ....]
 PU1KHI = K H I (Kilo Hotel India) [-.- .... ..]
 PU1KHK = K H K (Kilo Hotel Kilo) [-.- .... -.-]
 PU1KHL = K H L (Kilo Hotel Lima) [-.- .... .-..]
 PU1KHM = K H M (Kilo Hotel Mike) [-.- .... --]
 PU1KHN = K H N (Kilo Hotel November) [-.- .... -.]
 PU1KHO = K H O (Kilo Hotel Oscar) [-.- .... ---]
 PU1KHP = K H P (Kilo Hotel Papa) [-.- .... .--.]
 PU1KHQ = K H Q (Kilo Hotel Quebec) [-.- .... --.-]
 PU1KHR = K H R (Kilo Hotel Romeo) [-.- .... .-.]
 PU1KHS = K H S (Kilo Hotel Sierra) [-.- .... ...]
 PU1KHT = K H T (Kilo Hotel Tango) [-.- .... -]
 PU1KHU = K H U (Kilo Hotel Uniform) [-.- .... ..-]
 PU1KHW = K H W (Kilo Hotel Whiskey) [-.- .... .--]
 PU1KHX = K H X (Kilo Hotel X-ray) [-.- .... -..-]
 PU1KHY = K H Y (Kilo Hotel Yankee) [-.- .... -.--]
 PU1KIA = K I A (Kilo India Alfa) [-.- .. .-]
 PU1KIC = K I C (Kilo India Charlie) [-.- .. -.-.]
 PU1KID = K I D (Kilo India Delta) [-.- .. -..]
 PU1KIE = K I E (Kilo India Echo) [-.- .. .]
 PU1KIF = K I F (Kilo India Foxtrot) [-.- .. ..-.]
 PU1KII = K I I (Kilo India India) [-.- .. ..]
 PU1KIJ = K I J (Kilo India Juliett) [-.- .. .---]
 PU1KIK = K I K (Kilo India Kilo) [-.- .. -.-]
 PU1KIO = K I O (Kilo India Oscar) [-.- .. ---]
 PU1KIP = K I P (Kilo India Papa) [-.- .. .--.]
 PU1KIQ = K I Q (Kilo India Quebec) [-.- .. --.-]
 PU1KIR = K I R (Kilo India Romeo) [-.- .. .-.]
 PU1KIU = K I U (Kilo India Uniform) [-.- .. ..-]
 PU1KIW = K I W (Kilo India Whiskey) [-.- .. .--]
 PU1KIX = K I X (Kilo India X-ray) [-.- .. -..-]
 PU1KIY = K I Y (Kilo India Yankee) [-.- .. -.--]
 PU1KIZ = K I Z (Kilo India Zulu) [-.- .. --..]
 PU1KJA = K J A (Kilo Juliett Alfa) [-.- .--- .-]
 PU1KJB = K J B (Kilo Juliett Bravo) [-.- .--- -...]
 PU1KJD = K J D (Kilo Juliett Delta) [-.- .--- -..]
 PU1KJE = K J E (Kilo Juliett Echo) [-.- .--- .]
 PU1KJF = K J F (Kilo Juliett Foxtrot) [-.- .--- ..-.]
 PU1KJK = K J K (Kilo Juliett Kilo) [-.- .--- -.-]
 PU1KJL = K J L (Kilo Juliett Lima) [-.- .--- .-..]
 PU1KJN = K J N (Kilo Juliett November) [-.- .--- -.]
 PU1KJO = K J O (Kilo Juliett Oscar) [-.- .--- ---]
 PU1KJP = K J P (Kilo Juliett Papa) [-.- .--- .--.]
 PU1KJQ = K J Q (Kilo Juliett Quebec) [-.- .--- --.-]
 PU1KJR = K J R (Kilo Juliett Romeo) [-.- .--- .-.]
 PU1KJS = K J S (Kilo Juliett Sierra) [-.- .--- ...]
 PU1KJV = K J V (Kilo Juliett Victor) [-.- .--- ...-]
 PU1KJW = K J W (Kilo Juliett Whiskey) [-.- .--- .--]
