CONVENÇÕES GEOLÓGICAS E GEOFÍSICAS PARA REPRESENTAÇÃO EM MAPAS GEOLÓGICOS,,,,,
BYTECODE DECIMAL,UNICODE,"SYMBOL SELECTOR
  (size)","TAMANHO
  (mm)",COR,DESCRIÇÃO
125,U007D,"17,01",6,PRETO 100%,Lineação de estiramento com movimetno dextral indicado
161,U00A1,"17,01",6,PRETO 100%,Lineação de estiramento horizontal
126,U007E,"17,01",6,PRETO 100%,Lineação de estiramento horizontal com movimento sinistral indicado
172,U00AC,"11,34",4,PRETO 100%,Lineação de estiramento vertical
100,U0064,"17,01",6,PRETO 100%,Lineação de fluxo magnético (minerais e enclaves)
49,U0031,"17,01",6,PRETO 100%,Lineação de interseção entre acamadamento e clivagem
49,U0031,"17,01",6,PRETO 100%,Lineação de interseção entre foliações ou clivagens
50,U0032,"17,01",6,PRETO 100%,Lineação mineral
165,U00A5,"17,01",6,PRETO 100%,Lineação mineral horizontal
254,U00FE,"8,5",3,PRETO 100%,Lineação mineral vertical
51,U0033,"17,01",6,PRETO 100%,Lineção de minerais alongados em veio
159,U00F6,"19,84",7,PRETO 100%,Mina em atividade
160,U00A0,"19,84",7,PRETO 100%,Mina paralisada
169,U00A9,"8,5",3,PRETO 100%,Ocorrência mineral
110,U006E,"17,01",6,PRETO 100%,Peixes de mica (mica fish)
53,U0035,"17,01",6,PRETO 100%,Pillow lava
65,U0041,"17,01",6,PRETO 100%,Plano (superfície) axial de dobra
75,U004B,"17,01",6,PRETO 100%,Porfiroblastos/porfiroclastos assimétricos tipo delta
77,U004D,"14,17",5,PRETO 100%,Porfiroblastos/porfiroclastos assimétricos tipo sigma
79,U004F,"14,17",5,PRETO 100%,Porfiroclastos simétricos
80,U0050,"14,17",5,PRETO 100%,Redobramento tipo bumerangue
81,U0051,"11,34",4,PRETO 100%,Redobramento tipo domos e bacias
82,U0052,"14,17",5,PRETO 100%,Redobramento tipo laço (coaxial)
47,U002F,"14,17",5,PRETO 100%,Sentido de topo estratigráfico
204,U00CC,"17,01",6,PRETO 100%,Sentido de transporte tectônico
196,U00C4,"14,17",5,PRETO 100%,Seta 1
194,U00C2,"14,17",5,PRETO 100%,Seta 2
197,U00C5,"14,17",5,PRETO 100%,Seta 3
199,U00C7,"14,17",5,PRETO 100%,Seta 4
195,U00C3,"14,17",5,PRETO 100%,Seta 5
203,U00CB,"17,01",6,PRETO 100%,Seta 6
202,U00CA,"17,01",6,PRETO 100%,Seta 7
198,U00C6,"14,17",5,PRETO 100%,Seta 8
192,U00C0,"14,17",5,PRETO 100%,Simbol Anticlinal
201,U00C9,"14,17",5,PRETO 100%,Simbol Sinclinal
83,U0053,"14,17",5,PRETO 100%,Storckwork
68,U0044,"17,01",6,PRETO 100%,Superfície de fluxo magnético
163,U00A3,"17,01",6,PRETO 100%,Superfície de fluxo magnético horizontal
74,U004A,"17,01",6,PRETO 100%,Superfície de fluxo magnético vertical
99,U0063,"17,01",6,PRETO 100%,Tectonito L
60,U003C,"17,01",6,PRETO 100%,Tectonito LS
60,U003C,"17,01",6,PRETO 100%,Tectonito S
121,U0079,"17,01",6,PRETO 100%,Veio
121,U0079,"17,01",6,PRETO 100%,Veio de cisalhamento
188,U00BC,"17,01",6,PRETO 100%,Veio extensional
120,U0078,"17,01",6,PRETO 100%,Veio híbrido dextral
255,U00FF,"17,01",6,PRETO 100%,Veio híbrido sinistral
186,U00BA,"17,01",6,PRETO 100%,Veio irregular
187,U00BB,"17,01",6,PRETO 100%,Veio laminado
65,U0041,"19,84",7,PRETO 100%,Xistosidade
245,U00F5,"14,17",5,PRETO 100%,Xistosidade horizontal
244,U00F4,"17,01",6,PRETO 100%,Xistosidade vertical
124,U007C,"19,84",7,PRETO 100%,Zona de veios escalonados (tension gashes)
124,U007C,"11,34",4,PRETO 100%,Zona de veios multidirecionais
183,U00B7,"19,84",7,PRETO 100%,Zona extensional tipo pull apart
,,,,,
SIMBOLOGIA DE FÓSSEIS,,,,,
BYTECODE DECIMAL,UNICODE,"SYMBOL SELECTOR
  (size)","TAMANHO
  (mm)",COR,DESCRIÇÃO
33,U0021,"14,17",5,PRETO 100%,Acritarcos
34,U0022,"11,34",4,PRETO 100%,Algas
35,U0023,12,"4,23",PRETO 100%,Amonoides
36,U0024,"15,59","5,5",PRETO 100%,Anelídeos
37,U0025,12,"4,23",PRETO 100%,Anfíbios
38,U0026,"11,34",4,PRETO 100%,Angiospermas
39,U0027,12,"4,23",PRETO 100%,Aracnídeo
40,U0028,"11,5","4,05",PRETO 100%,Artropoda
41,U0029,5,"1,76",PRETO 100%,Belemnoids
