CONVENÇÕES GEOLÓGICAS E GEOFÍSICAS PARA REPRESENTAÇÃO EM MAPAS GEOLÓGICOS,,,,,,,,
BYTECODE DECIMAL,UNICODE,"TAMANHO
  (points/mm)",,COR,NOMENCLATURA,CÓDIGO UTF-8,OBSERVAÇÕES/DESCRIÇÃO,NOME ARQUIVO OTF
49,U0031,"17,01",6,PRETO 100%,Lineação de interseção entre foliações ou clivagens,,,CPRM_Geology.otf
49,U0031,"17,01",6,PRETO 100%,Lineação de interseção entre foliações e plano de falha,,,
50,U0032,"17,01",6,PRETO 100%,Lineação mineral,,,CPRM_Geology.otf
165,U00A5,"17,01",6,PRETO 100%,Lineação mineral horizontal,,,CPRM_Geology.otf
254,U00FE,"8,5",3,PRETO 100%,Lineação mineral vertical,,,CPRM_Geology.otf
51,U0033,"17,01",6,PRETO 100%,Lineção de minerais alongados em veio,,,CPRM_Geology.otf
246,U00F6,8,"2,82",PRETO 100%,Mina em atividade,,,CPRM_Geology.otf
160,U00A0,8,"2,82",PRETO 100%,Mina paralisada,,,CPRM_Geology.otf
169,U00A9,17,"5,99",PRETO 100%,Ocorrência mineral,,,CPRM_Geology.otf
110,U006E,"17,01",6,PRETO 100%,Mica fish,,,CPRM_Geology.otf
53,U0035,16,"5,64",PRETO 100%,Pillow lava,,,CPRM_Geology.otf
65,U0041,"17,01",6,PRETO 100%,Plano (superfície) axial de dobra,,,CPRM_Geology.otf
75,U004B,16,"5,64",PRETO 100%,Porfiroblastos/porfiroclastos assimétricos tipo delta,,,CPRM_Geology.otf
77,U004D,13,"4,59",PRETO 100%,Porfiroblastos/porfiroclastos assimétricos tipo sigma,,,CPRM_Geology.otf
79,U004F,"14,17",5,PRETO 100%,Porfiroclastos simétricos,,,CPRM_Geology.otf
80,U0050,"14,17",5,PRETO 100%,Redobramento tipo bumerangue,,,CPRM_Geology.otf
81,U0051,"11,34",4,PRETO 100%,Redobramento tipo domos e bacias,,,CPRM_Geology.otf
82,U0052,"14,17",5,PRETO 100%,Redobramento tipo laço,,Coaxial,CPRM_Geology.otf
47,U002F,"14,17",5,PRETO 100%,Sentido de topo estratigráfico,,,CPRM_Geology.otf
204,U00CC,15,"5,29",PRETO 100%,Sentido de transporte tectônico,,,CPRM_Geology.otf
204,U00CC,"17,01",6,PRETO 100%,Sentido de vergência de dobra,,Símbolo a ser definido,
